NEGERI,PPD,Peringkat,Kategori,JENISSEKOLAH,LOKASI,Pedalaman,KODSEKOLAH,NAMASEKOLAH,SUMBERELEKTRIK
JOHOR,PPD MERSING,Rendah,SK,SK,Luar Bandar,P2,JBA4030,SEKOLAH KEBANGSAAN PETA,Janakuasa Sekolah > 5 kVA
KELANTAN,PPD GUA MUSANG,Rendah,SK,SK,Luar Bandar,P2,DBAA003,SEKOLAH KEBANGSAAN HENDROP,Janakuasa Sekolah < 5 kVA
KELANTAN,PPD GUA MUSANG,Rendah,SK,SK,Luar Bandar,P2,DBAA004,SEKOLAH KEBANGSAAN POS BROOKE,Janakuasa Sekolah = 5 kVA
PERAK,PPD BATANG PADANG,Rendah,SK,SK,Luar Bandar,P2,ABA0127,SEKOLAH KEBANGSAAN POS MUSUH LZ,Janakuasa Sekolah = 5 kVA
PERAK,PPD KINTA UTARA,Menengah,SBK,SM SABK,Bandar,TIDAK,AFA2002,SEKOLAH IZZUDDIN SHAH,Janakuasa Sekolah > 5 kVA
SABAH,PPD BELURAN,Menengah,SK,SMK,Luar Bandar,P2,XEA2143,SEKOLAH MENENGAH KEBANGSAAN PAMOL,Janakuasa Sekolah > 5 kVA
SABAH,PPD BELURAN,Menengah,SK,SMK,Luar Bandar,P2,XEA2144,SEKOLAH MENENGAH KEBANGSAAN SIMPANGAN,Janakuasa Sekolah > 5 kVA
SABAH,PPD BELURAN,Rendah,SK,SK,Luar Bandar,P1,XBA2123,SEKOLAH KEBANGSAAN SUNGAI SAPI,Janakuasa Sekolah = 5 kVA
SABAH,PPD BELURAN,Rendah,SK,SK,Luar Bandar,P1,XBA2142,SEKOLAH KEBANGSAAN NANGOH,Janakuasa Sekolah > 5 kVA
SABAH,PPD BELURAN,Rendah,SK,SK,Luar Bandar,P2,XBA2116,SEKOLAH KEBANGSAAN PAMOL,Janakuasa Sekolah > 5 kVA
SABAH,PPD BELURAN,Rendah,SK,SK,Luar Bandar,P2,XBA2119,SEKOLAH KEBANGSAAN SIMPANGAN,Janakuasa Sekolah = 5 kVA
SABAH,PPD BELURAN,Rendah,SK,SK,Luar Bandar,P2,XBA2125,SEKOLAH KEBANGSAAN TAGAS-TAGAS,Janakuasa Sekolah = 5 kVA
SABAH,PPD BELURAN,Rendah,SK,SK,Luar Bandar,P2,XBA2131,SEKOLAH KEBANGSAAN KABULUH,Janakuasa Sekolah = 5 kVA
SABAH,PPD BELURAN,Rendah,SK,SK,Luar Bandar,P2,XBA2133,SEKOLAH KEBANGSAAN MAIDAN,Janakuasa Sekolah < 5 kVA
SABAH,PPD BELURAN,Rendah,SK,SK,Luar Bandar,P3,XBA2112,SEKOLAH KEBANGSAAN LINGKABAU,Janakuasa Sekolah < 5 kVA
SABAH,PPD BELURAN,Rendah,SK,SK,Luar Bandar,P3,XBA2147,SEKOLAH KEBANGSAAN ABUAN,Janakuasa Sekolah = 5 kVA
SABAH,PPD BELURAN,Rendah,SK,SK,Luar Bandar,P3,XBA2160,SEKOLAH KEBANGSAAN MATANGGAL BELURAN,Janakuasa Sekolah < 5 kVA
SABAH,PPD KINABATANGAN,Rendah,SK,SK,Luar Bandar,P3,XBA2201,SEKOLAH KEBANGSAAN ABAI,Janakuasa Sekolah < 5 kVA
SABAH,PPD KINABATANGAN,Rendah,SK,SK,Luar Bandar,P3,XBA2202,SEKOLAH KEBANGSAAN BALAT,Janakuasa Sekolah < 5 kVA
SABAH,PPD KINABATANGAN,Rendah,SK,SK,Luar Bandar,P3,XBA2226,SEKOLAH KEBANGSAAN DESA PERMAI,Janakuasa Sekolah < 5 kVA
SABAH,PPD KOTA MARUDU,Rendah,SK,SK,Luar Bandar,P3,XBA5228,SEKOLAH KEBANGSAAN MAGANDAI,Janakuasa Sekolah < 5 kVA
SABAH,PPD KUDAT,Menengah,SK,SMK,Luar Bandar,P3,XEA5021,SEKOLAH MENENGAH KEBANGSAAN BANGGI,Janakuasa Sekolah > 5 kVA
SABAH,PPD KUDAT,Rendah,SK,SK,Luar Bandar,P3,XBA5003,SEKOLAH KEBANGSAAN LAKSIAN,Janakuasa Sekolah = 5 kVA
